time(s),ankle_angle(deg),ankle_velocity(deg/s)
0.134500,1.883204,20.434110
0.135000,1.893382,20.356310
0.135500,1.903522,20.278922
0.136000,1.913623,20.201943
0.136500,1.923685,20.125370
0.137000,1.933710,20.049198
0.137500,1.943697,19.973424
0.138000,1.953646,19.898045
0.138500,1.963557,19.823057
0.139000,1.973431,19.748457
0.139500,1.983269,19.674242
0.140000,1.993069,19.600408
0.140500,2.002832,19.526952
0.141000,2.012559,19.453871
0.141500,2.022250,19.381161
0.142000,2.031904,19.308819
0.142500,2.041523,19.236843
0.143000,2.051105,19.165229
0.143500,2.060652,19.093974
0.144000,2.070164,19.023076
0.144500,2.079640,18.952530
0.145000,2.089081,18.882334
0.145500,2.098487,18.812486
0.146000,2.107859,18.742982
0.146500,2.117196,18.673820
0.147000,2.126498,18.604996
0.147500,2.135767,18.536509
0.148000,2.145001,18.468354
0.148500,2.154201,18.400530
0.149000,2.163367,18.333034
0.149500,2.172500,18.265863
0.150000,2.181600,18.199015
0.150500,2.190666,18.132486
0.151000,2.199699,18.066275
0.151500,2.208699,18.000378
0.152000,2.217667,17.934794
0.152500,2.226602,17.869520
0.153000,2.235504,17.804553
0.153500,2.244374,17.739891
0.154000,2.253212,17.675532
0.154500,2.262017,17.611473
0.155000,2.270791,17.547712
0.155500,2.279533,17.484247
0.156000,2.288244,17.421075
0.156500,2.296923,17.358194
0.157000,2.305571,17.295602
0.157500,2.314187,17.233297
0.158000,2.322773,17.171276
0.158500,2.331328,17.109537
0.159000,2.339852,17.048079
0.159500,2.348345,16.986899
0.160000,2.356808,16.925994
0.160500,2.365241,16.865364
0.161000,2.373644,16.805006
0.161500,2.382016,16.744918
0.162000,2.390359,16.685097
0.162500,2.398671,16.625543
0.163000,2.406954,16.566253
0.163500,2.415208,16.507224
0.164000,2.423432,16.448456
0.164500,2.431627,16.389947
0.165000,2.439793,16.331694
0.165500,2.447930,16.273695
0.166000,2.456038,16.215949
0.166500,2.464117,16.158455
0.167000,2.472168,16.101209
0.167500,2.480190,16.044211
0.168000,2.488184,15.987459
0.168500,2.496149,15.930950
0.169000,2.504086,15.874685
0.169500,2.511996,15.818659
0.170000,2.519877,15.762873
0.170500,2.527731,15.707324
0.171000,2.535557,15.652010
0.171500,2.543355,15.596931
0.172000,2.551126,15.542084
0.172500,2.558870,15.487467
0.173000,2.566587,15.433080
0.173500,2.574276,15.378921
0.174000,2.581939,15.324988
0.174500,2.589574,15.271279
0.175000,2.597183,15.217794
0.175500,2.604765,15.164530
0.176000,2.612321,15.111487
0.176500,2.619850,15.058662
0.177000,2.627353,15.006054
0.177500,2.634830,14.953662
0.178000,2.642281,14.901485
0.178500,2.649706,14.849520
0.179000,2.657105,14.797767
0.179500,2.664478,14.746225
0.180000,2.671825,14.694891
